Month,AA,AS,B6,DL,EV,F9,HA,MQ,NK,OO,UA,US,VX,WN
1,6.955843432232902,-0.3208881453881834,7.347280539009862,-2.0438469753125195,8.537496880459196,18.357238307349665,3.5126404494382024,18.164973882762624,11.39805375347544,10.88989390204694,6.352728635280893,3.107457355748507,1.4207015278674413,3.389465633285744
2,7.530204410973642,-0.7829231792484204,18.657672849915684,5.6147452175385135,10.417236043328176,27.42417852749956,6.029967088169063,21.301626652748784,16.47446563419941,9.58889490918514,7.260661890139884,7.114455084359325,7.784410458806118,3.501363468293585
3,6.693586858685869,-0.5447309101155255,10.74131747400917,2.077965363842899,6.730101204819277,20.07485465116279,3.4683825865904034,11.018417619522676,10.039118219148476,3.1816931323960755,4.892211518275757,3.3307872915861743,5.348206839032527,3.2633406330132706
4,4.931777541365808,-3.0090025207057978,2.780105432042173,0.0833426059864248,4.821252726706139,12.640439932318104,0.0110215495969731,5.1312277580071175,8.766224110462028,3.2237962676564598,4.376092010277744,2.66028960342315,0.9955065359477124,2.996398786959818
5,5.173878150008026,-1.7163984936665526,-0.7090193271295634,0.1493332975252111,7.724289707538904,13.007554179566563,0.8264256777812402,5.466789592296661,22.39734693877551,4.14116186288878,6.827694692686485,0.6816048312356124,7.102021174205968,5.680776826859776
6,8.191016646031091,-0.2206206206206206,5.047154544637238,4.419593538301198,13.952792976205624,19.71295111338623,0.8827855320426234,9.63932307948814,35.56150134048257,8.338476904888092,16.932662867359483,5.7662958482103335,5.779414578151903,10.743462226195795
7,3.870440173589585,0.3774076663912021,5.841453657304081,1.204861543054761,6.926420794387786,14.464543418760886,2.0015859284890425,3.980288601488751,14.352381885904723,6.790332571915289,10.262550955899984,,7.135772659732541,10.50494168720143
8,3.193906591451949,2.5038986962759653,9.280949544797071,0.6531143476913542,5.154422253922967,9.175737381216834,7.448029197080292,1.8965651496798757,20.51901828493204,5.6066890665430815,5.014040631049598,,5.1062212796041,5.532107941923571
9,-1.4327324113708704,-1.8137998875772907,3.5391536154615126,-3.703377345378735,0.851061867318468,0.9784603619678818,3.696915292965562,-2.167267657098899,8.000101337657073,1.530895841718389,-1.794264698812557,,0.0709978603384555,-1.3362598507775747
10,-0.5809298123878975,-2.993617316497849,3.6767871929340328,-5.011516340215749,2.3037601648534265,0.0821273964131107,0.4670735624799229,-3.73505378329717,6.810736135780541,1.750897166192303,-2.4565417286977844,,2.2542778288868446,-0.6888508740737893
11,0.7726303123119838,-1.916516473217504,1.4182991365704205,-3.1754137902353823,4.41593026606474,11.164527421236873,-2.719893546240852,0.2200610418498784,7.543880597014925,4.925548167753319,0.2810635476844398,,0.1163704396632366,0.9956842923794712
12,4.149684328298569,-1.846680642907058,13.8392895633056,2.5045953790120645,6.685175583313693,9.346221002743826,-1.7064748201438849,0.6624856901099995,12.733123269359304,10.947612212943632,7.0120787705033605,,13.49872029250457,6.720893444098173
